name,link,category,reviews amount,total score
Работа с РЕД ОС,https://stepik.org/course/173874,Операционные системы,3,32.93582311450525
Финансовое планирование на предприятии,https://stepik.org/course/98296,Управление персоналом,1,32.84639536909507
Java Аничков,https://stepik.org/course/61503,Java,6,32.765891624453644
Java Задачник. Первая ступенька.,https://stepik.org/course/119621,Java,1,32.74063170435495
Bioinformatics Contest 2021,https://stepik.org/course/91751,Генетика,2,32.39749937703436
Кто такой тестировщик ПО. Знакомство с профессией,https://stepik.org/course/135512,Тестирование ПО,3,31.987967019591835
PRO JAVA. Основы программирования,https://stepik.org/course/212359,Java,1,31.668614852538134
Информационная безопасность и защита информации,https://stepik.org/course/103110,Информационная безопасность,3,31.66071491570479
Cимуляция и моделирование - просто и доступно,https://stepik.org/course/123713,Математическое моделирование,3,31.32573518457261
Анализ ценных бумаг и криптовалют,https://stepik.org/course/125722,Бизнес и финансы,3,30.52205744585983
Учимся читать по-английски. Курс: Beginner,https://stepik.org/course/101324,Повседневный английский,1,30.517989348826745
Использование Autolisp для написания скриптов AutoCAD,https://stepik.org/course/187421,Микроконтроллеры,1,30.317171172208667
Задачник-тренажер по основам языка С++. Базовый уровень,https://stepik.org/course/204057,Программирование,2,30.253224339409314
CJM за 120 минут,https://stepik.org/course/82966,Маркетинг и продажи,1,30.15007582712711
Изучаем Git и GitHub за 3 часа на практике,https://stepik.org/course/171974,Веб-разработка,3,30.126831893367477
3Д Графика  Блендер: Виллис. Blender_3D: Willys MB.,https://stepik.org/course/132724,3D и 2D моделирование,3,29.8675295098085
Организация ДО: Google Classroom,https://stepik.org/course/78190,Дистанционное обучение,4,29.809160236321475
Логические функции в Excel,https://stepik.org/course/187297,1С и бухгалтерский учет,2,29.75735733647119
