name,link,category,reviews amount,total score,important reviews amount,important reviews part,average stars count,detail score,deep score,material quality score,problems quality score,coach skills score,practice experience score,feedback score,positive score,negative score,positive reviews part,negative reviews part,important positive reviews part,important negative reviews part,reviews amount * total score
Основы маркетинга для социальных предпринимателей,https://stepik.org/course/183827,Привлечение средств,10,67.57544258434662,8,0.8,5.0,0.8220377138699405,0.6723116623412352,0.33180305634159596,0.025010655553887772,0.19066860018865556,0.5510950844560284,0.09122035379805311,0.8316668951883912,0.16905788930598648,0.9,0.1,0.875,0.125,675.7544258434662
ЕГЭ Информатика 2025 - Задание 25,https://stepik.org/course/115478,Подготовка к ЕГЭ и ОГЭ,10,67.39193422170375,3,0.3,5.0,0.2604655762785114,0.19616375988116488,0.10205215282985591,0.0002946476495708339,0.19048114608267497,0.29674969192710704,0.0002879535917600151,0.754389937222004,0.24556629350408912,0.8,0.2,1.0,0.0,673.9193422170375
Теория вероятностей и математическая статистика,https://stepik.org/course/182381,Статистика и анализ данных,10,67.35389472355372,6,0.6,5.0,0.5863239276863169,0.5963952202582732,0.29373934061150064,0.23752805379626807,0.2955537753618046,0.3756383521395037,0.28019793695202677,0.8947272308170795,0.1049255193443969,0.9,0.1,0.8333333333333334,0.16666666666666666,673.5389472355372
"Школа волонтеров ""Тамбовский волк""",https://stepik.org/course/109030,Домашние животные,10,67.31453661638707,5,0.5,5.0,0.5025173426780384,0.49067996591329577,0.10664409674791386,0.000542278492503101,0.19332589906553038,0.6398741863260511,0.00019560772307158913,0.7527624409645796,0.24872938101179898,0.7,0.3,1.0,0.0,673.1453661638707
Big Data for Data Science,https://stepik.org/course/101272,SQL,10,67.22466096681806,7,0.7,5.0,0.6706312593305483,0.693776274472475,0.2979669770080363,0.17680729142884957,0.15428075715753947,0.7696379118773621,0.3676282744418131,0.7255319281481206,0.2745435325428843,0.7,0.3,0.7142857142857143,0.2857142857142857,672.2466096681807
"Deep Learning (семестр 1, осень 2020): продвинутый поток",https://stepik.org/course/82177,Программирование для опытных,10,67.1543879151905,4,0.4,5.0,0.4004419340577442,0.4041646954137832,0.2758821136201732,0.09982821946650802,0.10115719190034725,0.2841048030531965,0.0003010667573107639,0.8036544442176818,0.19740371198859066,0.8,0.2,0.75,0.25,671.543879151905
Векторная алгебра с NumPy,https://stepik.org/course/172781,Математика,10,67.03484821741739,8,0.8,5.0,0.8021518609020859,0.7098622027551755,0.48644045046530665,0.5443540541629772,0.5311877391359303,0.5719393338164082,0.11553573191740725,0.7952928213402629,0.20506791677325964,0.8,0.2,0.75,0.25,670.3484821741739
"HTML (Hypertext Markup Language) // Веб-технологии, часть I",https://stepik.org/course/122510,Frontend,10,67.01173760982617,2,0.2,5.0,0.20634118125308304,0.4996840325416997,0.010552502184873446,0.02776448291479028,0.08077109201913117,0.4382440795598086,0.0003917594080121489,0.7900082528591156,0.21172292260453104,0.8,0.2,1.0,0.0,670.1173760982617
Бесплатный курс «Hardskills для продакта» школы ProductStar,https://stepik.org/course/173476,Управление персоналом,12,55.79752698416422,4,0.3333333333333333,5.0,0.2966514693835052,0.24435493232643543,0.16375703166704625,0.008259723023608482,0.15621557906888484,0.4203972910545417,0.0008479684629492112,0.8294360935688019,0.17105252229763815,0.8333333333333334,0.16666666666666666,0.75,0.25,669.5703238099707
Введение в Электронный магазин Московской области для бизнеса,https://stepik.org/course/123280,Электронная коммерция,11,60.84144285579502,4,0.36363636363636365,5.0,0.3889627661847044,0.27620053747986356,0.2398700434132479,0.08814575459374199,0.09094697530765022,0.37549682944452134,0.040676255335049726,0.750319998076355,0.2500130030834539,0.8181818181818182,0.18181818181818182,0.75,0.25,669.2558714137452
Теооретические основы информатики,https://stepik.org/course/128087,Вычислительная математика,10,66.91888709668032,1,0.1,5.0,0.10765566789195873,0.20572757897898555,0.10021138099000382,0.026850389659011854,0.10820889280730625,0.1792794951616088,0.0001534390805318253,0.8465625315904617,0.15332207637839018,0.9,0.1,1.0,0.0,669.1888709668033
Web-технологии: практический курс CSS,https://stepik.org/course/109663,Frontend,10,66.90589291590946,4,0.4,5.0,0.4263712892687181,0.4311585484072566,0.19109122630761705,0.06679827457082865,0.0677597084762965,0.30390839780448003,0.002313027926720679,0.9170764565467835,0.08391047399491072,1.0,0.0,1.0,0.0,669.0589291590946
Как подготовиться к ЕГЭ по физике,https://stepik.org/course/50024,Физика,9,74.27037882620907,3,0.3333333333333333,5.0,0.33447418702417053,0.2204509307565685,0.22263196265541613,0.16986681664356082,0.09856680239156251,0.43641730718728566,0.0013274734313502752,0.6933620581920776,0.3065859429124329,0.6666666666666666,0.3333333333333333,1.0,0.0,668.4334094358816
"Нейросети, искусственный интеллект (AI) - инструмент будущего",https://stepik.org/course/205439,Цифровая грамотность,10,66.82210616441003,6,0.6,5.0,0.636230960184912,0.7891369963064789,0.1956134581909282,0.20773822712362744,0.11552166012406814,0.6177841727621853,0.08981558952655178,0.921658506989479,0.07752426296938211,0.9,0.1,0.8333333333333334,0.16666666666666666,668.2210616441002
Тестирование JavaScript и React приложений,https://stepik.org/course/200433,Веб-разработка,10,66.7574814731673,8,0.8,5.0,0.7977634285576641,0.40927323658834214,0.5971541665872792,0.015860280101333047,0.34790008444397247,0.4756835082604084,0.011290486444340785,0.8727406680583953,0.1279687749221921,0.9,0.1,1.0,0.0,667.5748147316731
Многопоточное и многопроцессное программирование в Python,https://stepik.org/course/191266,Большие курсы,10,66.69371742956488,8,0.8,5.0,0.7576716218609363,0.6975945189595223,0.5333472348953364,0.30941538282204417,0.5975359666372242,0.677478189644171,0.22377244555318612,0.675410302169621,0.3246145952725783,0.7,0.3,0.75,0.25,666.9371742956489
Разработка веб-приложений на Go (GoLang),https://stepik.org/course/128260,Go (Golang),11,60.43128435851297,8,0.7272727272727273,5.0,0.7247135959121145,0.7147245300002396,0.25957900954976637,0.020945599577812987,0.19370418104187015,0.6352336190281097,0.10647473523700186,0.7098406454844569,0.2902201070577245,0.6363636363636364,0.36363636363636365,0.625,0.375,664.7441279436426
Autodesk Revit 2022: Сборка каркасного дома,https://stepik.org/course/116486,Моделирование зданий и проектирование,10,66.37187407066591,8,0.8,5.0,0.8074237763124984,0.7613601458258927,0.5713673560763709,0.005480898619862273,0.4910741023610171,0.5956243455701042,0.08275708118526381,0.8475250431336463,0.15255914921872318,0.9,0.1,0.875,0.125,663.7187407066591
